
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
58747	 1582	 61426	 57478	 58085	 58001
58409	 1521	 60978	 57738	 57841	 57080
58114	 1641	 60875	 56972	 57619	 56993
58241	 1373	 60616	 57346	 57552	 57450
58455	 1456	 60910	 57094	 57944	 57872
59257	 1613	 61995	 58144	 58502	 58390
58406	 1606	 61181	 57657	 57439	 57347
57891	 1575	 60585	 57084	 57005	 56892
60494	 2339	 63837	 57223	 60551	 60365
59239	 1640	 61985	 57761	 58632	 58580
61712	 2616	 65321	 57956	 61811	 61762
59973	 1517	 62568	 58719	 59373	 59232
58789	 1395	 61206	 57994	 58011	 57945
59748	 1978	 63039	 58087	 59375	 58494
59904	 1479	 62325	 59722	 58795	 58777
59799	 1139	 61717	 59305	 58983	 59193
59877	 2254	 63466	 60104	 58020	 57919
58855	 1745	 61751	 57123	 58336	 58211
61114	 2484	 65129	 61210	 59079	 59039
58976	 1634	 61801	 57894	 58187	 58022
59753	 2112	 62776	 56845	 59737	 59656
58943	 1391	 61290	 57985	 58265	 58235
61069	 2348	 64552	 57991	 60902	 60834
58878	 1552	 61474	 58650	 57853	 57535
58624	 2950	 63725	 56844	 57012	 56916
59287	 1341	 61551	 58624	 58511	 58465
58490	 1452	 60943	 57877	 57604	 57539
62655	 2097	 66160	 60734	 61898	 61831
59863	 1671	 62654	 58392	 59224	 59185
62096	 1996	 64860	 59236	 62186	 62103
60509	 1534	 62952	 58752	 60203	 60130
59969	 1325	 62196	 59030	 59366	 59287
60274	 1787	 63031	 58143	 60172	 59753
59772	 1917	 62879	 57749	 59658	 58802
59143	 1424	 61572	 57934	 58599	 58467
58432	 1699	 61291	 57331	 58058	 57049
60894	 1337	 63185	 59997	 60252	 60143
59105	 1626	 61866	 57744	 58326	 58485
59665	 2520	 63373	 60548	 57408	 57334
59655	 1915	 62906	 58019	 58892	 58804
59246	 1948	 62468	 59075	 57753	 57689
