# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
1225	431	1943	 1424	 1408	 2076	 1268	 752	 1098	 794	 757	 1395	 781	 1005
1245	408	1944	 1422	 1396	 1101	 1683	 831	 1096	 784	 754	 1261	 796	 1873
1274	443	1934	 1423	 1405	 1608	 2112	 744	 1101	 781	 756	 1461	 874	 1097
1142	391	1942	 1426	 1404	 1629	 776	 751	 1102	 784	 752	 1409	 769	 961
1395	534	1933	 1415	 1401	 1606	 775	 748	 1608	 2121	 742	 2331	 766	 1297
1246	501	1930	 1418	 1403	 1109	 785	 759	 1607	 781	 749	 2330	 762	 1325
1163	408	1951	 1424	 1394	 1095	 784	 755	 1093	 784	 759	 1330	 778	 1820
1244	472	1135	 1437	 1418	 1086	 1589	 743	 1087	 788	 758	 1802	 762	 2328
1359	541	1949	 1416	 1383	 1560	 2067	 741	 1097	 782	 759	 2407	 764	 1394
1259	449	1941	 1428	 1397	 2076	 1252	 738	 1585	 775	 746	 1431	 771	 977
1325	460	1941	 1423	 1403	 2076	 1253	 742	 1600	 774	 747	 1339	 788	 1814
1387	512	1947	 1424	 1393	 1085	 790	 753	 1100	 1618	 2111	 2347	 771	 1311
1102	353	1919	 1411	 1393	 1095	 857	 769	 1105	 785	 756	 1438	 798	 906
1291	424	1933	 1409	 1387	 1158	 789	 754	 1290	 1957	 885	 1361	 773	 1804
1347	466	1921	 1411	 1393	 1099	 2285	 1692	 1093	 791	 756	 1243	 776	 1712
1271	462	1132	 1417	 1397	 1202	 1717	 868	 1092	 789	 753	 1856	 765	 2271
1228	399	1919	 1408	 1393	 1098	 786	 755	 1115	 1635	 750	 1357	 761	 1764
1158	395	1921	 1408	 1381	 1092	 786	 756	 1096	 793	 758	 1368	 778	 1767
1334	432	1909	 1414	 1396	 1073	 787	 759	 1096	 2092	 1581	 1364	 775	 1768
1189	408	1907	 1407	 1389	 1591	 779	 746	 1084	 785	 758	 1341	 760	 1727
1123	387	1910	 1406	 1381	 1585	 777	 745	 1096	 780	 755	 1420	 779	 853
1126	385	1911	 1406	 1382	 1581	 779	 744	 1097	 782	 758	 1434	 777	 868
1206	420	1929	 1409	 1387	 1600	 783	 747	 1097	 803	 752	 1381	 774	 1816
1200	425	1135	 1412	 1391	 1086	 792	 769	 1099	 1619	 748	 2247	 756	 1354
1182	478	1142	 1421	 1402	 1079	 869	 753	 1095	 784	 753	 1737	 758	 2401
1216	492	1936	 1415	 1384	 1103	 780	 754	 1093	 785	 754	 2283	 760	 1556
1227	503	1932	 1406	 1396	 1100	 786	 759	 1088	 783	 752	 1612	 768	 2343
1414	516	1925	 1415	 1394	 1098	 785	 751	 1099	 2118	 1589	 2406	 829	 1568
1236	514	1927	 1412	 1387	 1090	 791	 756	 1098	 781	 763	 1690	 761	 2379
1277	482	1918	 1405	 1390	 1083	 785	 751	 1103	 1616	 751	 2302	 755	 1471
1221	493	1908	 1403	 1385	 1090	 788	 756	 1094	 784	 762	 1643	 751	 2292
1317	492	1912	 1398	 1378	 1588	 776	 748	 1117	 1624	 752	 2334	 745	 1441
1197	426	1906	 1405	 1380	 1584	 776	 756	 1111	 787	 761	 1255	 756	 1898
1182	369	1905	 1400	 1380	 1087	 787	 753	 1111	 1619	 751	 1514	 768	 1113
1098	352	1917	 1404	 1380	 1082	 784	 760	 1114	 781	 759	 1407	 769	 1023
1094	346	1901	 1400	 1382	 1092	 858	 769	 1106	 780	 760	 1409	 778	 895
1340	580	1733	 962	 2413	 1131	 787	 760	 1113	 1622	 753	 1811	 748	 2257
1302	485	1914	 1397	 1378	 1612	 781	 746	 1111	 1621	 751	 2299	 748	 1271
1359	539	1914	 1395	 1364	 2073	 1263	 746	 1095	 780	 758	 1834	 763	 2325
1407	462	1908	 1394	 1370	 2053	 1257	 742	 2093	 1264	 748	 1317	 871	 1868
1317	423	1896	 1394	 1378	 1556	 2070	 745	 1112	 1621	 752	 1468	 768	 1046
1150	371	1125	 1404	 1387	 2051	 1251	 739	 1110	 778	 758	 1434	 768	 997
1150	364	1906	 1395	 1372	 1078	 1589	 750	 1104	 787	 763	 1384	 770	 906
1105	404	1913	 1395	 1370	 1082	 786	 756	 1099	 783	 758	 1790	 765	 765
1295	576	2480	 1710	 953	 1075	 785	 758	 1116	 1625	 752	 2263	 745	 1286
1308	511	1917	 1393	 1384	 1072	 781	 749	 1114	 1627	 752	 1798	 751	 2360
1239	506	1893	 1389	 1374	 1080	 795	 837	 1100	 781	 757	 1773	 748	 2347
1289	502	1123	 1402	 1380	 1608	 774	 746	 1111	 1626	 752	 1765	 745	 2447
1086	311	1119	 1403	 1378	 1593	 775	 749	 1107	 783	 754	 1507	 765	 1110
1407	436	1913	 1394	 1367	 2060	 1250	 740	 1099	 2103	 1589	 1503	 771	 1100
1102	356	1889	 1379	 1359	 1088	 782	 751	 1095	 754	 758	 1507	 764	 1105
1198	427	1884	 1384	 1374	 1577	 778	 746	 1093	 774	 758	 1238	 812	 1962
1281	414	1883	 1384	 1370	 1092	 779	 755	 1094	 2097	 1584	 1456	 777	 1103
1173	308	1110	 1395	 1377	 1074	 1582	 742	 1094	 744	 1581	 1531	 764	 1092
1172	304	1113	 1397	 1394	 1070	 1577	 747	 1088	 743	 1578	 1502	 772	 1093
1093	355	1113	 1397	 1395	 1086	 780	 756	 1096	 765	 762	 1250	 754	 1965
1283	418	1884	 1384	 1369	 1085	 783	 753	 1096	 2094	 1584	 1504	 766	 1100
1271	399	1869	 1383	 1369	 1086	 784	 755	 1094	 747	 1583	 1532	 1968	 1084
1037	272	1064	 1394	 1406	 1093	 779	 752	 1100	 758	 759	 1501	 755	 1092
1219	345	1089	 1375	 1407	 1088	 1599	 751	 1239	 1912	 838	 1503	 730	 1104
1338	494	1098	 1396	 1407	 1214	 1791	 852	 1090	 752	 755	 1271	 2436	 2002
1374	422	1114	 1405	 1408	 1575	 2086	 743	 1094	 2097	 1588	 1514	 743	 1121
1305	432	1113	 1386	 1409	 1568	 2077	 740	 1093	 768	 1582	 1257	 705	 1962
1265	400	1090	 1403	 1405	 1592	 778	 752	 1106	 1610	 2113	 1508	 726	 1100
1354	411	1107	 1401	 1409	 2071	 1255	 738	 1102	 1619	 2101	 1521	 833	 1092
1310	446	1100	 2077	 982	 1070	 1586	 743	 1100	 1612	 2105	 1526	 734	 1086
1341	450	1146	 1846	 958	 1075	 1589	 745	 1097	 1606	 2103	 1252	 728	 1958
1277	413	1093	 1765	 882	 1082	 1596	 753	 1093	 2113	 1590	 1524	 743	 1091
1066	398	1069	 1723	 757	 1076	 806	 759	 1093	 754	 757	 1249	 748	 2005
1195	397	1180	 2058	 859	 1072	 1584	 749	 1102	 1586	 748	 1509	 735	 1158
1072	331	1074	 1666	 763	 1060	 1573	 754	 1090	 753	 756	 1504	 735	 1141
1184	408	1071	 811	 761	 1068	 1588	 750	 1102	 2082	 1592	 1504	 740	 1148
1135	339	1102	 1612	 750	 1070	 1589	 746	 1081	 747	 1572	 1485	 736	 1139
994	284	1094	 1611	 749	 1082	 789	 752	 1099	 724	 753	 1409	 742	 1131
1102	393	1088	 784	 765	 1078	 784	 750	 1106	 1582	 2096	 1319	 740	 1140
1175	499	1089	 1599	 747	 1067	 1589	 746	 1088	 751	 730	 1625	 710	 2370
