# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
4079	674	4713	 3124	 4748	 4374	 4393	 3083	 4588	 3177	 4599	 4480	 4485	 3193
2570	437	3395	 1676	 3392	 2445	 2482	 2384	 2596	 2537	 2634	 2407	 2364	 2529
2605	645	3383	 1599	 3400	 2435	 2464	 2358	 2599	 2625	 2640	 2593	 1437	 3730
2496	754	3348	 1570	 3362	 3692	 1415	 2544	 2064	 2092	 3186	 2972	 1814	 1897
2602	646	3356	 1568	 3357	 2600	 3686	 1412	 2652	 2689	 2740	 2402	 2349	 2424
2513	527	3339	 1559	 3314	 2943	 1849	 1873	 2531	 2585	 2616	 2516	 2509	 2533
2486	622	2823	 1533	 4076	 2891	 1818	 1866	 2504	 2582	 2604	 2325	 2399	 2419
2422	620	3327	 1544	 3296	 2909	 1858	 1858	 2639	 2644	 2679	 1668	 1763	 2883
2564	617	3281	 1524	 3279	 2431	 2387	 2415	 2543	 2580	 2624	 3619	 1460	 2635
2562	674	3300	 1526	 3299	 2536	 2511	 2540	 3092	 2023	 2036	 3703	 1504	 2675
2464	526	3313	 1537	 3236	 2222	 2289	 2299	 2580	 2641	 2673	 1868	 1915	 2997
2440	707	3265	 1505	 3271	 2065	 2192	 2207	 3075	 1980	 2041	 1403	 2579	 3705
2403	544	3264	 1507	 3264	 2057	 2167	 2190	 2546	 2585	 2646	 1827	 2928	 1863
2405	728	2800	 1507	 4049	 1503	 1632	 2662	 2617	 2681	 2752	 1865	 1835	 2967
2429	816	4041	 1482	 2759	 1512	 1630	 2657	 2540	 2331	 2371	 3762	 1434	 2637
4094	1452	6242	 3727	 4997	 1325	 3679	 4738	 5858	 3698	 4830	 4848	 3736	 1451
2355	645	2737	 1484	 3965	 2269	 2247	 2183	 2752	 1872	 1916	 1923	 1902	 3018
2348	665	3996	 1487	 2785	 2752	 1750	 1659	 2729	 1805	 1917	 2434	 2407	 2461
2514	893	2762	 1467	 3992	 3584	 2537	 1363	 1330	 2615	 3680	 3023	 1877	 1940
2427	713	3225	 1488	 3228	 2565	 3502	 1325	 1252	 2658	 2724	 2400	 2325	 2438
2493	791	3248	 1502	 3240	 3592	 2541	 1302	 1249	 2491	 3574	 2384	 2389	 2411
2366	659	2751	 1462	 3976	 2229	 2203	 2035	 1245	 2666	 2692	 2384	 2362	 2397
2371	671	2787	 1474	 4027	 2165	 2165	 2041	 1242	 2674	 2646	 2430	 2408	 2404
2301	715	2746	 1458	 3949	 1649	 2661	 1536	 1250	 2660	 2626	 2408	 2373	 2302
2499	825	3968	 1447	 2725	 2449	 3474	 1344	 1253	 3501	 2472	 2490	 2454	 2414
2392	760	3999	 1467	 2764	 1843	 2837	 1854	 1248	 3487	 2458	 2237	 2248	 2262
2427	771	4001	 1472	 2773	 2051	 2082	 2080	 1346	 3793	 2779	 2243	 2251	 2253
2331	780	2748	 1448	 3980	 2008	 2030	 2040	 1238	 3444	 2418	 2953	 1838	 1834
2443	874	3979	 1469	 2734	 1970	 2025	 2031	 1241	 3444	 2385	 3820	 1540	 2678
2238	681	3232	 1487	 3265	 1583	 1644	 2606	 1245	 2602	 2505	 1939	 1786	 2968
2221	626	3246	 1492	 3257	 1588	 1639	 2624	 1225	 2526	 2407	 2302	 2144	 2207
3674	1634	5069	 1470	 6280	 3578	 1404	 4607	 3544	 5804	 4702	 3952	 1812	 1869
2291	719	3212	 1471	 3221	 1930	 1958	 1987	 1227	 3458	 2378	 3010	 1797	 1851
2303	800	4006	 1490	 2782	 1911	 1948	 1926	 1238	 3443	 2374	 2966	 1774	 1789
2397	856	2794	 1457	 4034	 1589	 2581	 1628	 1244	 3451	 2382	 3032	 1606	 2967
2402	809	2768	 1484	 4001	 1396	 3428	 2454	 1252	 2631	 2541	 1970	 1881	 3023
2337	807	4011	 1462	 2737	 1681	 1682	 2659	 1252	 2465	 3374	 1909	 1846	 2975
2430	903	2718	 1460	 3954	 1651	 1652	 2629	 1244	 2463	 3369	 3804	 2738	 1487
2438	907	2772	 1489	 4029	 1920	 1943	 1953	 1243	 2466	 3374	 1467	 3940	 2667
2417	879	2704	 1446	 3926	 1937	 1914	 1936	 1270	 2478	 3381	 1452	 2762	 3805
2306	779	2718	 1456	 3944	 1915	 1926	 1930	 1243	 2440	 3397	 1879	 3011	 1820
2307	675	2767	 1464	 3988	 1927	 1938	 1941	 1245	 2593	 2498	 2478	 2427	 2421
2317	734	2780	 1471	 3990	 1923	 1942	 1931	 1246	 2437	 3362	 2293	 2258	 2175
2422	923	2736	 1456	 3967	 2618	 1661	 1654	 1225	 2424	 3340	 3911	 1412	 2667
2508	922	2729	 1453	 3951	 3401	 2446	 1419	 1234	 2431	 3384	 2554	 1413	 3683
2282	936	3974	 1444	 2732	 1431	 3416	 2477	 1265	 1604	 1545	 2462	 1394	 3642
2304	942	3952	 1462	 2740	 1412	 2444	 3436	 1251	 1636	 1610	 2588	 1408	 3717
2170	826	2685	 1456	 3880	 1961	 1994	 1990	 1271	 1626	 1550	 3609	 1401	 2625
2350	849	3915	 1440	 2698	 1925	 1917	 1947	 1242	 3388	 2366	 2415	 1388	 3563
2337	856	3914	 1436	 2706	 1715	 2189	 1727	 1251	 2440	 3350	 2395	 1398	 3534
2317	813	3183	 1465	 3189	 1604	 2534	 1555	 1241	 2431	 3349	 2367	 1382	 3511
2274	935	2682	 1420	 3898	 2706	 3580	 1498	 1261	 1548	 1499	 2344	 1374	 3485
2325	884	2700	 1452	 3914	 3292	 1235	 2329	 1392	 1623	 2707	 2371	 1377	 3511
2148	839	2705	 1449	 3911	 1573	 2339	 1559	 1260	 1427	 2342	 2347	 1376	 3497
2144	828	3879	 1455	 2668	 1575	 2309	 1572	 1252	 1435	 2353	 2357	 1388	 3491
2426	910	2676	 1434	 3876	 2355	 1246	 3339	 1245	 3376	 2342	 2360	 1374	 3493
2093	926	2708	 1443	 3914	 1368	 3979	 2370	 1271	 1592	 1522	 1331	 1795	 1832
2561	963	2722	 1446	 3915	 1274	 2379	 3667	 1251	 2417	 3350	 2746	 1645	 3926
2473	931	2692	 1435	 3888	 1266	 3597	 2572	 1254	 3364	 2334	 2373	 1397	 3508
2425	917	3869	 1432	 2683	 1251	 2328	 3473	 1252	 2383	 3337	 2314	 1348	 3441
2419	895	2551	 1422	 3694	 1253	 3509	 2460	 1243	 2369	 3314	 2351	 1380	 3488
2292	916	1446	 2599	 3733	 1258	 2537	 3631	 1262	 1378	 2342	 2389	 1402	 3533
2371	868	1443	 2620	 3782	 1239	 3450	 2308	 1204	 2554	 2498	 2388	 1426	 3542
2213	878	2982	 1481	 2922	 1257	 2390	 3512	 1282	 1532	 1512	 3737	 1388	 2571
2173	747	2428	 2470	 2465	 1240	 2328	 3432	 1272	 1603	 1580	 2363	 1387	 3517
2065	733	1915	 1920	 2956	 1275	 1441	 2623	 1267	 1402	 2362	 3602	 1416	 2612
2238	846	2617	 3694	 1406	 1267	 2769	 2826	 1264	 1394	 2341	 2377	 1386	 3519
2348	825	2970	 1874	 1831	 1259	 2392	 3603	 1231	 3328	 2330	 2401	 1420	 3543
2178	797	2920	 1856	 1829	 1277	 2454	 3577	 1245	 1379	 2334	 2374	 1389	 3510
2361	836	2938	 1827	 1845	 1289	 2426	 3667	 1235	 2366	 3383	 2397	 1411	 3551
2357	724	2401	 2444	 2399	 1299	 2467	 3624	 1248	 2588	 2538	 2375	 1402	 3502
2289	750	2524	 2507	 2490	 1323	 1410	 2594	 1270	 2377	 3386	 3582	 1402	 2605
2104	684	2414	 2483	 2453	 1347	 1441	 2700	 1298	 1391	 2430	 2377	 1388	 3528
2087	727	3078	 1975	 1997	 1340	 1441	 2745	 1301	 1402	 2434	 2396	 1400	 3544
2179	867	2652	 1495	 3891	 1347	 1467	 2722	 1303	 1444	 2459	 2404	 1410	 3554
2345	931	3898	 2694	 1474	 1336	 2518	 3709	 1304	 1442	 2485	 2375	 1401	 3513
2532	959	3896	 2689	 1479	 1329	 2516	 3812	 1312	 2505	 3588	 2366	 1381	 3519
2235	847	3050	 1904	 1949	 1358	 2562	 3781	 1326	 1621	 1615	 2584	 1401	 3675
2222	888	2715	 1487	 3918	 1387	 1464	 2772	 1355	 1436	 2517	 3614	 1398	 2606
2438	929	3851	 2682	 1480	 2791	 1595	 3985	 1417	 1560	 2738	 2336	 1368	 3463
2258	804	3035	 1886	 1939	 2492	 1470	 3785	 1313	 1445	 2480	 2362	 1386	 3503
2375	920	2671	 1486	 3866	 2530	 1501	 3708	 1311	 1413	 2470	 3567	 1389	 2588
2251	798	3010	 1904	 1907	 2486	 1460	 3765	 1324	 1439	 2491	 2356	 1385	 3485
2252	800	3008	 1885	 1900	 2561	 1491	 3765	 1323	 1441	 2487	 2330	 1369	 3472
2451	852	3008	 1893	 1904	 2457	 1446	 3794	 1309	 2477	 3570	 3571	 1389	 2599
2535	925	2739	 3926	 1499	 2505	 1495	 3711	 1305	 3517	 2459	 2362	 1401	 3506
2412	827	3043	 1891	 1908	 2463	 1448	 3724	 1317	 2501	 3527	 2322	 1360	 3442
2315	894	3770	 1436	 2627	 2489	 1479	 3679	 1316	 1423	 2447	 2317	 1362	 3442
2272	910	3829	 1465	 2679	 2468	 1455	 3735	 1327	 1646	 1623	 2299	 1351	 3397
2313	889	3743	 1432	 2601	 2499	 1476	 3684	 1328	 1430	 2476	 2308	 1347	 3433
2051	660	2254	 2440	 2454	 1355	 1477	 2695	 1319	 1637	 1617	 3475	 1370	 2529
2120	681	2561	 2592	 2571	 1346	 1443	 2679	 1321	 1401	 2452	 2312	 1363	 3409
2122	693	2418	 2511	 2498	 1349	 1454	 2691	 1304	 1390	 2392	 3546	 1384	 2528
2313	749	2352	 2469	 2444	 2468	 1450	 3666	 2541	 1110	 1845	 3512	 1382	 2525
2266	978	3879	 1547	 2782	 2457	 1439	 3692	 986	 1160	 1919	 3471	 1362	 2508
2266	969	2719	 1550	 3924	 2451	 1441	 3627	 1038	 1160	 1920	 3486	 1369	 2517
2336	838	3139	 2003	 2037	 3876	 1439	 2686	 1021	 1885	 2637	 3445	 1357	 2516
2401	797	2655	 2662	 2627	 3896	 1456	 2696	 1049	 1965	 2726	 2334	 1355	 3396
2179	779	1571	 2508	 1646	 3469	 1398	 2460	 1060	 1957	 2807	 3453	 1340	 2490
1990	782	3137	 1249	 2329	 1060	 1575	 1600	 1046	 2758	 1892	 3412	 1346	 2478
2186	673	2349	 2296	 2310	 2065	 1196	 2977	 1108	 2021	 2782	 2317	 1390	 3427
Total runtime = 0.413901s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
4 	 3 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
14280	2871	10643	 16221	 16364	 10537	 16280	 16162	 16482	 10453	 15825	 16721	 9384	 16294
8640	1490	9451	 9017	 10217	 10434	 10444	 9505	 7576	 9254	 7651	 7751	 5568	 6820
8877	1612	9552	 9112	 9356	 9698	 10065	 10103	 7221	 9115	 7396	 10252	 4582	 10077
9398	2123	10097	 9726	 9885	 9814	 9975	 10093	 7355	 9259	 7507	 7309	 15099	 6666
8600	2249	7507	 7248	 11136	 9156	 8633	 9283	 8095	 4986	 7660	 11981	 12277	 5241
8192	1613	10050	 10026	 9631	 6838	 9689	 6989	 7640	 4828	 7493	 7633	 7409	 10089
8191	2087	10076	 9934	 9740	 6893	 5227	 6924	 7446	 8985	 7250	 8587	 12393	 4848
7965	2195	9975	 9746	 9474	 8739	 11668	 5143	 9090	 4435	 4977	 6699	 6873	 8762
7531	2129	9917	 9637	 9437	 9928	 4510	 10065	 6896	 4324	 7144	 7038	 6696	 4784
8144	1879	10128	 9754	 9572	 6817	 9051	 6304	 6820	 8268	 6521	 11719	 4911	 7871
7885	1844	11019	 7606	 7180	 10518	 4019	 7340	 8486	 9064	 6152	 6724	 7335	 9186
7554	2196	6906	 7736	 7776	 6549	 7732	 6572	 4208	 7163	 11027	 8326	 12211	 4442
6415	1385	8229	 6614	 6367	 8376	 4185	 5151	 4539	 7177	 7205	 7313	 7165	 4670
6906	2557	7148	 8238	 4592	 7531	 4128	 11441	 4257	 5561	 5895	 8112	 11791	 4182
7126	2338	7061	 11689	 4342	 9869	 3971	 6911	 7105	 3938	 9720	 6620	 6094	 8201
12245	5455	17628	 15193	 3987	 4270	 15209	 17914	 15297	 12094	 17607	 7468	 16340	 3936
6221	2158	3809	 8871	 6304	 6493	 3915	 3994	 9120	 3864	 6663	 8955	 8677	 3995
5886	1730	8651	 3787	 6235	 9051	 4062	 6472	 4434	 3945	 6706	 6567	 6477	 4249
6344	2044	6197	 3814	 8645	 6418	 6466	 3915	 8871	 3745	 6109	 8959	 8987	 4006
