
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
56762	 5042	 61964	 50861	 61560	 52663
57175	 4836	 62361	 51601	 61570	 53170
56381	 4784	 61134	 50945	 61131	 52317
57186	 4756	 62045	 51791	 61779	 53131
56439	 4125	 61067	 53129	 59934	 51629
56440	 4634	 61264	 51619	 60866	 52013
56982	 4218	 61345	 53088	 61029	 52468
56621	 5063	 61771	 50732	 61505	 52479
56976	 4201	 61316	 53012	 61018	 52560
59627	 6378	 65978	 50800	 65409	 56322
60172	 4817	 66805	 58502	 61785	 53598
59289	 4598	 64254	 55985	 63322	 53598
59467	 4437	 63881	 54719	 63903	 55367
58953	 4326	 64122	 56055	 62116	 53521
64231	 5182	 69499	 57667	 69094	 60666
58625	 4702	 63541	 52978	 62986	 54997
59942	 5059	 66904	 59004	 61088	 52775
63749	 5297	 69169	 57122	 68718	 59988
60227	 4806	 65204	 54749	 64808	 56147
58823	 4288	 63336	 54632	 62861	 54466
64440	 5235	 69744	 57730	 69341	 60947
58401	 4314	 62807	 54112	 62611	 54076
59543	 4826	 66225	 57662	 61221	 53066
62706	 6786	 69114	 52876	 68921	 59914
60205	 4468	 66046	 57732	 62641	 54401
58674	 4696	 65071	 56727	 60530	 52371
61452	 6266	 67587	 52644	 67145	 58435
59385	 4583	 65618	 57598	 61163	 53162
58255	 4311	 63665	 55637	 60989	 52731
64313	 7266	 71356	 54709	 71343	 59844
62830	 5325	 70447	 59889	 64706	 56281
266593	 362846	 895047	 57665	 60235	 53428
58044	 4093	 62535	 54260	 61695	 53688
58926	 5000	 64047	 52696	 63625	 55336
62944	 5834	 70212	 60451	 66290	 54823
60839	 5064	 66085	 54682	 65581	 57008
61519	 4473	 67228	 59118	 64107	 55625
59841	 4978	 66679	 58502	 61303	 52880
68498	 11779	 88029	 64940	 64590	 56434
65677	 14281	 89965	 57723	 61321	 53701
64463	 6689	 70553	 54540	 70605	 62157
59590	 3812	 65413	 58201	 59847	 54901
71350	 4516	 77106	 68912	 73971	 65414
90689	 4492	 95794	 86964	 94434	 85567
