# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
2266	939	3073	 1192	 2151	 2264	 1285	 1305	 2724	 4268	 1665	 1335	 3433	 2502
2278	910	3078	 1193	 2135	 2182	 1259	 1207	 1480	 3409	 3222	 1568	 3773	 2840
2251	842	3051	 1189	 2129	 2349	 1288	 1719	 2660	 3903	 1545	 1350	 3372	 2460
2366	878	3007	 1158	 2091	 3189	 1256	 2189	 3914	 2856	 1574	 1333	 3378	 2449
2273	762	3068	 1186	 2135	 2216	 1246	 3281	 3062	 2093	 1809	 1341	 3389	 2460
2284	844	3112	 1195	 2177	 2184	 1233	 3289	 1382	 2698	 3947	 1679	 2700	 1823
2204	800	2155	 1199	 3123	 3204	 1256	 2204	 1492	 3076	 1580	 1341	 3400	 2429
2056	611	3034	 1170	 2115	 2212	 1243	 3269	 1577	 2054	 1896	 1804	 2496	 1806
2260	797	3073	 1190	 2147	 2180	 1232	 3163	 3854	 1737	 2810	 1624	 2446	 1672
2178	792	3081	 1193	 2138	 2302	 1339	 3291	 1476	 2889	 1537	 3372	 1216	 2305
2315	867	3035	 1176	 2115	 3139	 1241	 2208	 3725	 2652	 1488	 2345	 1207	 3452
2151	876	2152	 1213	 1220	 2202	 1224	 3176	 2520	 1478	 3741	 2287	 1222	 3385
2028	821	2197	 1238	 1220	 2220	 1259	 3245	 3724	 1447	 2631	 2437	 1256	 1470
2099	762	3090	 1199	 2148	 2156	 1237	 3147	 1459	 1448	 2505	 3310	 1203	 2293
1712	553	2166	 1211	 1226	 2184	 1239	 3204	 1583	 1503	 1534	 1684	 1271	 1745
2328	873	3101	 1201	 2153	 2260	 1310	 3428	 3620	 2519	 1399	 3379	 1191	 2385
2162	796	3113	 1203	 2163	 2326	 1371	 3342	 1459	 1419	 2542	 2318	 1252	 3447
2406	907	3088	 1210	 2156	 2222	 1249	 3355	 2804	 1689	 3847	 2427	 1220	 3614
2297	855	3130	 1201	 2185	 2187	 1241	 3222	 2439	 1326	 3565	 2347	 1293	 3432
2283	846	3093	 1201	 2149	 2265	 1287	 3230	 2440	 1325	 3555	 2280	 1223	 3355
2325	829	3097	 1197	 2160	 3257	 1256	 2269	 2564	 1425	 3608	 2413	 3277	 1385
2121	862	2145	 1208	 1217	 3145	 1221	 2130	 2507	 1371	 3585	 2290	 1219	 3421
2282	854	3093	 1201	 2151	 3225	 1226	 2223	 3560	 1384	 2464	 2302	 1182	 3379
2158	839	3323	 1191	 2257	 3201	 1233	 2187	 1393	 3515	 2497	 1352	 1218	 2529
2078	859	2482	 1328	 1343	 3602	 1219	 2441	 1405	 2501	 3617	 1354	 1217	 2431
2030	720	3093	 1197	 2155	 2241	 1266	 3298	 1540	 1512	 1544	 2583	 1227	 2704
2014	750	3080	 1191	 2141	 2202	 1214	 3149	 2244	 1227	 3204	 1532	 1291	 1696
2041	715	3115	 1200	 2171	 2213	 1283	 3164	 1285	 1348	 2401	 2469	 1229	 2623
2130	862	2169	 1214	 1224	 2365	 1319	 3296	 3228	 1245	 2236	 2379	 1236	 3652
2160	758	3084	 1203	 2147	 3120	 1201	 2173	 2275	 1245	 3259	 2515	 1183	 2519
2039	796	2170	 1208	 1224	 2186	 1194	 3117	 2213	 1207	 3162	 3282	 1194	 2315
1974	811	2171	 1209	 1215	 2491	 1346	 3498	 1281	 1237	 2394	 3314	 1211	 2324
2050	810	2112	 1163	 1172	 2172	 1201	 3111	 1285	 2233	 3215	 2373	 1216	 3347
2064	816	2107	 1170	 1197	 3134	 1243	 2147	 1299	 2251	 3231	 3434	 1234	 2321
1845	778	2155	 1192	 1212	 3231	 1213	 2261	 1302	 1304	 1285	 2449	 1228	 3319
1734	637	2138	 1190	 1193	 3148	 1264	 2186	 2248	 1229	 1234	 2437	 1256	 1290
2010	779	3039	 1175	 2106	 3145	 1208	 2193	 1229	 2195	 1252	 3263	 1146	 2169
2050	799	3020	 1169	 2099	 3264	 1237	 2263	 1226	 2193	 1239	 3360	 1251	 2280
1907	762	2111	 1167	 1185	 3135	 1217	 2161	 1273	 2267	 3342	 2510	 1210	 1312
2033	815	2119	 1171	 1194	 3132	 1220	 2155	 1243	 2185	 3178	 3410	 1184	 2212
1764	675	2120	 1188	 1207	 3028	 1131	 2073	 1125	 1012	 1882	 2634	 1242	 2530
1782	771	2139	 1193	 1131	 3141	 1216	 2178	 996	 1009	 1760	 3255	 1201	 2175
1747	800	1719	 992	 998	 3205	 1224	 2179	 1022	 1805	 1036	 3299	 1248	 2246
1704	723	1712	 984	 987	 2194	 1229	 3222	 1028	 1791	 1072	 2541	 1192	 2500
1876	805	1712	 976	 985	 2373	 1293	 3276	 1005	 1784	 2577	 3175	 1162	 2205
1819	763	1685	 972	 969	 2641	 1139	 1898	 2847	 1006	 1923	 3245	 1212	 2299
1705	664	1680	 962	 973	 2442	 1004	 1716	 1033	 1760	 2568	 2269	 1185	 2873
1601	714	2446	 961	 1703	 1122	 1091	 994	 1112	 1076	 1868	 2278	 1243	 3321
Total runtime = 0.631818s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 12
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
