
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
10074	 1611	 13816	 8672	 10877	 11016	 10016	 7294	 10012	 10418	 10493	 10426	 10116	 7734
8299	 1428	 11403	 7089	 8904	 8995	 8490	 5677	 8440	 8576	 8829	 8797	 8326	 6063
8740	 1648	 12447	 7322	 9547	 9592	 8614	 5885	 8614	 8981	 9455	 9408	 8757	 6269
8538	 1545	 12244	 7284	 9027	 9059	 8545	 5932	 8523	 8839	 9093	 9045	 8622	 6253
8419	 1394	 11714	 7343	 8154	 8881	 8616	 5942	 8595	 9050	 8818	 8792	 8715	 6408
9833	 2194	 13983	 7180	 11054	 11068	 10241	 6008	 10219	 10349	 10668	 10667	 10393	 6176
8336	 1453	 11813	 7166	 8413	 8529	 8583	 5976	 8538	 8602	 8884	 8870	 8634	 6032
8786	 2598	 16386	 6742	 8610	 8635	 9656	 5852	 9621	 8156	 8859	 8797	 8191	 5929
10311	 1747	 14465	 9106	 10541	 10893	 10867	 7742	 10837	 8523	 10952	 10948	 10968	 7893
9871	 1805	 13713	 9159	 10174	 10526	 10523	 6118	 10467	 8029	 10573	 10570	 10577	 8033
8199	 1611	 12157	 6908	 8708	 8679	 8330	 5650	 8285	 8329	 8662	 8638	 8362	 5682
7781	 1705	 11360	 7008	 7816	 8355	 8416	 4236	 8349	 6450	 8637	 8585	 8427	 5744
7734	 1669	 11177	 6990	 7794	 8322	 8338	 4240	 8259	 6295	 8601	 8553	 8446	 5801
7652	 1767	 11634	 6857	 7672	 8161	 8216	 4197	 8111	 6142	 8538	 8504	 8168	 5634
7739	 1704	 11275	 6983	 7707	 8289	 8352	 4230	 8269	 6198	 8724	 8672	 8374	 5804
7642	 1693	 11306	 6864	 7764	 8133	 8131	 4168	 8053	 6260	 8554	 8504	 8265	 5704
7997	 1638	 12001	 6926	 8133	 8316	 8314	 5705	 8232	 6300	 8925	 8859	 8430	 5834
7677	 1570	 11032	 6794	 7662	 8006	 8076	 4221	 8074	 8093	 8213	 8181	 8139	 5642
7491	 1828	 11243	 6834	 8023	 8124	 8156	 4172	 8082	 6218	 8239	 8215	 8230	 4361
7536	 1856	 11097	 7042	 7639	 8360	 8388	 4135	 8311	 6068	 8397	 8377	 8335	 4284
7565	 1634	 11057	 6924	 7638	 8157	 8210	 4143	 8123	 6194	 8222	 8203	 8211	 5703
7320	 1872	 11403	 6863	 7579	 8123	 8189	 4172	 8090	 6268	 8245	 8240	 6439	 4240
7650	 1861	 11556	 7220	 8017	 8509	 8568	 4607	 8518	 6209	 8649	 8618	 6765	 4572
7662	 1848	 11294	 7096	 7961	 8388	 8469	 4399	 8353	 8386	 8477	 8452	 6429	 4246
7507	 1888	 11564	 6823	 7676	 8085	 8342	 4149	 8303	 8111	 8162	 8162	 6441	 4269
7659	 1631	 11092	 6906	 8197	 8284	 8258	 5615	 8173	 8175	 8265	 8243	 6448	 4261
7411	 1856	 11209	 6881	 8065	 8272	 8350	 4372	 8275	 6179	 8375	 8347	 6402	 4205
7948	 2252	 12530	 7461	 8054	 9223	 9220	 4488	 9119	 6214	 9255	 9240	 6386	 4195
7974	 1899	 12310	 7382	 8552	 8728	 8824	 6182	 8706	 6258	 8842	 8827	 6634	 4452
7759	 2172	 12377	 7460	 7720	 8808	 8891	 4195	 8811	 6467	 8940	 8878	 6368	 4200
7467	 1949	 11575	 7015	 7767	 8394	 8403	 4182	 8315	 6271	 8559	 8485	 6386	 4256
7404	 1932	 11582	 6919	 7844	 8257	 8291	 4204	 8233	 6185	 8375	 8326	 6408	 4235
7593	 1902	 11582	 6942	 7686	 8260	 8323	 4217	 8261	 8346	 8419	 8377	 6425	 4282
7639	 1944	 11583	 7034	 7726	 8459	 8384	 4152	 8322	 8441	 8513	 8489	 6351	 4225
7755	 1643	 11401	 6930	 8029	 8298	 8273	 5688	 8203	 6545	 8421	 8388	 8381	 4507
8129	 2448	 13295	 7199	 7610	 8496	 8596	 4170	 8427	 6463	 10361	 10200	 8569	 4163
7614	 1724	 10932	 6849	 7644	 8176	 8194	 4216	 8132	 8145	 8260	 8206	 8191	 4429
7566	 1734	 10945	 6794	 7675	 8123	 8084	 4206	 8037	 8112	 8180	 8161	 8155	 4327
7559	 1778	 11161	 6785	 7608	 8083	 8100	 4177	 8012	 8103	 8146	 8129	 8135	 4275
7371	 1827	 11148	 6888	 7601	 8234	 8270	 4258	 8240	 6508	 8352	 8308	 6434	 4219
7795	 1303	 10727	 6852	 7863	 8174	 8024	 5521	 7991	 8096	 8294	 8256	 8120	 5632
7570	 1904	 11181	 7198	 7816	 8604	 8625	 4173	 8536	 6680	 8692	 8657	 6438	 4244
7797	 1717	 11424	 6858	 8652	 8720	 8307	 5711	 8234	 8267	 8343	 8298	 6466	 4293
7725	 1668	 11069	 6802	 8627	 8623	 8387	 5605	 8291	 8173	 8239	 8195	 6458	 4233
7486	 1762	 10791	 6993	 8064	 8449	 8452	 4496	 8366	 6551	 8467	 8454	 6475	 4284
7452	 1799	 10992	 7265	 7761	 8340	 8379	 4294	 8321	 6595	 8408	 8377	 6435	 4264
